,　　,,,,,,,
,表3—1    全国分年龄、性别的人口,,,,,,,
,,,,,,,,
,,,,,,,,单位:人，%
Do not Age,年   龄   别,人  口  数        ,,,占总人口数的百分比,,,性别比
#VALUE!,,合计,男,女,小计,男,女,
#VALUE!,,,,,,,,
Total,总      计,1242612226,640275969,602336257,100.00,51.53,48.47,106.30
#VALUE!,,,,,,,,
0-4 years,0-4岁,68978374,37648694,31329680,5.55,3.03,2.52,120.17
0 years old,0岁,13793799,7460206,6333593,1.11,0.60,0.51,117.79
1 year old,1岁,11495247,6332425,5162822,0.93,0.51,0.42,122.65
2 years old,2岁,14010711,7701684,6309027,1.13,0.62,0.51,122.07
3 years,3岁,14454335,7897234,6557101,1.16,0.64,0.53,120.44
4 years old,4岁,15224282,8257145,6967137,1.23,0.66,0.56,118.52
#VALUE!,,,,,,,,
5-9 years old,5-9岁,90152587,48303208,41849379,7.26,3.89,3.37,115.42
5 years,5岁,16933559,9157597,7775962,1.36,0.74,0.63,117.77
6 years,6岁,16470140,8866012,7604128,1.33,0.71,0.61,116.59
7-year old,7岁,17914756,9590414,8324342,1.44,0.77,0.67,115.21
8 year-old,8岁,18752106,10014222,8737884,1.51,0.81,0.70,114.61
9 years old,9岁,20082026,10674963,9407063,1.62,0.86,0.76,113.48
#VALUE!,,,,,,,,
10-14 years old,10-14岁,125396633,65344739,60051894,10.09,5.26,4.83,108.81
10 years old,10岁,26210044,13811030,12399014,2.11,1.11,1.00,111.39
11 years old,11岁,25137678,13110848,12026830,2.02,1.06,0.97,109.01
12 years,12岁,24576191,12779621,11796570,1.98,1.03,0.95,108.33
13-year-old,13岁,26282644,13619530,12663114,2.12,1.10,1.02,107.55
14 years,14岁,23190076,12023710,11166366,1.87,0.97,0.90,107.68
#VALUE!,,,,,,,,
15-19 years old,15-19岁,103031165,52878170,50152995,8.29,4.26,4.04,105.43
15 years old,15岁,20429326,10598460,9830866,1.64,0.85,0.79,107.81
16-year-old,16岁,20313426,10468201,9845225,1.63,0.84,0.79,106.33
17-year-old,17岁,20065048,10275677,9789371,1.61,0.83,0.79,104.97
18 years,18岁,23100427,11783695,11316732,1.86,0.95,0.91,104.13
19-year-old,19岁,19122938,9752137,9370801,1.54,0.78,0.75,104.07
#VALUE!,,,,,,,,
20-24 years old,20-24岁,94573174,47937766,46635408,7.61,3.86,3.75,102.79
20 years old,20岁,18393809,9315481,9078328,1.48,0.75,0.73,102.61
